0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/resources/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/resources/css/nice-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/resources/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/resources/css/slicknav.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/resources/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/resources/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/resources/js/jquery.nice-select.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/resources/js/mixitup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/resources/js/jquery.nicescroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/resources/js/jquery.slicknav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/resources/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/resources/images/logo/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 200 39482
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/resources/images/male.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/resources/images/female.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:05 +0900] "GET /SemiProject/resources/images/logo/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:08 +0900] "GET /SemiProject/semi.do?command=popup_r_check&member_id=test HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:57 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 200 39482
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:57 +0900] "GET /SemiProject/resources/images/logo/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [03/May/2021:18:50:59 +0900] "GET /SemiProject/semi.do?command=popup_r_check&member_id=test HTTP/1.1" 200 609
